source,faq,text_type
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,"If Understanding of the Climate System Has Increased, Why Hasn’t the Range of Temperature Projections Been Reduced?",q
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,"The models used to calculate the IPCC’s temperature projections agree on the direction of future global change,
but the projected size of those changes cannot be precisely predicted. Future greenhouse gas (GHG) emission rates
could take any one of many possible trajectories, and some underlying physical processes are not yet completely
understood, making them difficult to model. Those uncertainties, combined with natural year-to-year climate
variability, produce an ‘uncertainty range’ in temperature projections.
The uncertainty range around projected GHG and aerosol precursor emissions (which depend on projections of
future social and economic conditions) cannot be materially reduced. Nevertheless, improved understanding and
climate models—along with observational constraints—may reduce the uncertainty range around some factors that
influence the climate’s response to those emission changes. The complexity of the climate system, however, makes
this a slow process.
Climate science has made many important advances since the last IPCC assessment report, thanks to improvements
in measurements and data analysis in the cryosphere, atmosphere, land, biosphere and ocean systems. Scientists
also have better understanding and tools to model the role of clouds, sea ice, aerosols, small-scale ocean mixing,
the carbon cycle and other processes. More observations mean that models can now be evaluated more thoroughly,
and projections can be better constrained. For example, as models and observational analysis have improved,
projections of sea level rise have become more accurate, balancing the current sea level rise budget.
Despite these advances, there is still a range in plausible projections for future global and regional climate—
what scientists call an ‘uncertainty range’. These uncertainty ranges are specific to the variable being considered
(precipitation vs. temperature, for instance) and the spatial and temporal extent (such as regional vs. global
averages). Uncertainties in climate projections arise from natural variability and uncertainty around the rate of
future emissions and the climate’s response to them. They can also occur because representations of some known
processes are as yet unrefined, and because some processes are not included in the models.
There are fundamental limits to just how precisely annual temperatures can be projected, because of the chaotic
nature of the climate system. Furthermore, decadal-scale projections are sensitive to prevailing conditions—such
as the temperature of the deep ocean—that are less well known. Some natural variability over decades arises from
interactions between the ocean, atmosphere, land, biosphere and cryosphere, and is also linked to phenomena such
as the El Niño-Southern Oscillation (ENSO) and the North Atlantic Oscillation (see Box 2.5 for details on patterns and
indices of climate variability).
Volcanic eruptions and variations in the sun’s output also contribute to natural variability, although they are
externally forced and explainable. This natural variability can be viewed as part of the ‘noise’ in the climate record,
which provides the backdrop against which the ‘signal’ of anthropogenic climate change is detected.
Natural variability has a greater influence on uncertainty at regional and local scales than it does over continental
or global scales. It is inherent in the Earth system, and more knowledge will not eliminate the uncertainties it brings.
However, some progress is possible—particularly for projections up to a few years ahead—which exploit advances
in knowledge of, for instance, the cryosphere or ocean state and processes. This is an area of active research. When
climate variables are averaged over decadal timescales or longer, the relative importance of internal variability
diminishes, making the long-term signals more evident (FAQ1.1, Figure 1). This long-term perspective is consistent
with a common definition of climate as an average over 30 years.
A second source of uncertainty stems from the many possible trajectories that future emission rates of GHGs
and aerosol precursors might take, and from future trends in land use. Nevertheless, climate projections rely on
input from these variables. So to obtain these estimates, scientists consider a number of alternative scenarios for
future human society, in terms of population, economic and technological change, and political choices. They then
estimate the likely emissions under each scenario. The IPCC informs policymaking, therefore climate projections
for different emissions scenarios can be useful as they show the possible climatic consequences of different policy
choices. These scenarios are intended to be compatible with the full range of emissions scenarios described in the
current scientific literature, with or without climate policy. As such, they are designed to sample uncertainty in
future scenarios. Projections for the next few years and decades are sensitive to emissions of short-lived compounds such as aerosols
and methane. More distant projections, however, are more sensitive to alternative scenarios around long-lived GHG
emissions. These scenario-dependent uncertainties will not be reduced by improvements in climate science, and will
become the dominant uncertainty in projections over longer timescales (e.g., 2100).
The final contribution to the uncertainty range comes from our imperfect knowledge of how the climate will
respond to future anthropogenic emissions and land use change. Scientists principally use computer-based global
climate models to estimate this response. A few dozen global climate models have been developed by different
groups of scientists around the world. All models are built on the same physical principles, but some approximations
are needed because the climate system is so complex. Different groups choose slightly different approximations
to represent specific processes in the atmosphere, such as clouds. These choices produce differences in climate
projections from different models. This contribution to the uncertainty range is described as ‘response uncertainty’
or ‘model uncertainty’.
The complexity of the Earth system means that future climate could follow many different scenarios, yet still
be consistent with current understanding and models. As observational records lengthen and models improve,
researchers should be able, within the limitations of the range of natural variability, to narrow that range in
probable temperature in the next few decades. It is also possible to use information about the
current state of the oceans and cryosphere to produce better projections up to a few years ahead.
As science improves, new geophysical processes can be added to climate models, and representations of those
already included can be improved. These developments can appear to increase model-derived estimates of climate
response uncertainty, but such increases merely reflect the quantification of previously unmeasured sources of
uncertainty. As more and more important processes are added, the influence of unquantified
processes lessens, and there can be more confidence in the projections.",a
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,How Do We Know the World Has Warmed?,q
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,"Evidence for a warming world comes from multiple independent climate indicators, from high up in the atmosphere
to the depths of the oceans. They include changes in surface, atmospheric and oceanic temperatures; glaciers; snow
cover; sea ice; sea level and atmospheric water vapour. Scientists from all over the world have independently verified this evidence many times. That the world has warmed since the 19th century is unequivocal.
Discussion about climate warming often centres on potential residual biases in temperature records from landbased weather stations. These records are very important, but they only represent one indicator of changes in the
climate system. Broader evidence for a warming world comes from a wide range of independent physically consistent measurements of many other, strongly interlinked, elements of the climate system .
A rise in global average surface temperatures is the best-known indicator of climate change. Although each year and
even decade is not always warmer than the last, global surface temperatures have warmed substantially since 1900.
Warming land temperatures correspond closely with the observed warming trend over the oceans. Warming oceanic air temperatures, measured from aboard ships, and temperatures of the sea surface itself also coincide, as
borne out by many independent analyses.
The atmosphere and ocean are both fluid bodies, so warming at the surface should also be seen in the lower atmosphere, and deeper down into the upper oceans, and observations confirm that this is indeed the case. Analyses of
measurements made by weather balloon radiosondes and satellites consistently show warming of the troposphere,
the active weather layer of the atmosphere. More than 90% of the excess energy absorbed by the climate system
since at least the 1970s has been stored in the oceans as can be seen from global records of ocean heat content
going back to the 1950s. As the oceans warm, the water itself expands. This expansion is one of the main drivers of the independently
observed rise in sea levels over the past century. Melting of glaciers and ice sheets also contribute, as do changes in
storage and usage of water on land.
A warmer world is also a moister one, because warmer air can hold more water vapour. Global analyses show that
specific humidity, which measures the amount of water vapour in the atmosphere, has increased over both the land
and the oceans.
The frozen parts of the planet—known collectively as the cryosphere—affect, and are affected by, local changes
in temperature. The amount of ice contained in glaciers globally has been declining every year for more than 20
years, and the lost mass contributes, in part, to the observed rise in sea level. Snow cover is sensitive to changes in
temperature, particularly during the spring, when snow starts to melt. Spring snow cover has shrunk across the NH
since the 1950s. Substantial losses in Arctic sea ice have been observed since satellite records began, particularly at
the time of the mimimum extent, which occurs in September at the end of the annual melt season. By contrast, the
increase in Antarctic sea ice has been smaller.
Individually, any single analysis might be unconvincing, but analysis of these different indicators and independent
data sets has led many independent research groups to all reach the same conclusion. From the deep oceans to the
top of the troposphere, the evidence of warmer air and oceans, of melting ice and rising seas all points unequivocally to one thing: the world has warmed since the late 19th century. ",a
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,Have There Been Any Changes in Climate Extremes?,q
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,"There is strong evidence that warming has lead to changes in temperature extremes—including heat waves—since
the mid-20th century. Increases in heavy precipitation have probably also occurred over this time, but vary by
region. However, for other extremes, such as tropical cyclone frequency, we are less certain, except in some limited
regions, that there have been discernable changes over the observed record.
From heat waves to cold snaps or droughts to flooding rains, recording and analysing climate extremes poses
unique challenges, not just because these events are rare, but also because they invariably happen in conjunction
with disruptive conditions. Furthermore, there is no consistent definition in the scientific literature of what constitutes an extreme climatic event, and this complicates comparative global assessments.
Although, in an absolute sense, an extreme climate event will vary from place to place—a hot day in the tropics,
for instance, may be a different temperature to a hot day in the mid-latitudes—international efforts to monitor
extremes have highlighted some significant global changes.
For example, using consistent definitions for cold
(<10th percentile) and warm (>90th percentile) days
and nights it is found that warm days and nights have
increased and cold days and nights have decreased for
most regions of the globe; a few exceptions being central and eastern North America, and southern South
America but mostly only related to daytime temperatures. Those changes are generally most apparent in
minimum temperature extremes, for example, warm
nights. Data limitations make it difficult to establish
a causal link to increases in average temperatures,
but, indicates that daily global temperature extremes have indeed changed. Whether
these changes are simply associated with the average
of daily temperatures increasing  or whether other changes in the
distribution of daytime and nighttime temperatures
have occurred is still under debate.
Warm spells or heat waves, that is, periods containing consecutive extremely hot days or nights, have
also been assessed, but there are fewer studies of
heat wave characteristics than those that compare
changes in merely warm days or nights. Most global
land areas with available data have experienced more
heat waves since the middle of the 20th century. One
exception is the south-eastern USA, where heat wave
frequency and duration measures generally show
decreases. This has been associated with a so-called
‘warming hole’ in this region, where precipitation
has also increased and may be related to interactions
between the land and the atmosphere and long-term
variations in the Atlantic and Pacific Oceans. However, for large regions, particularly in Africa and South
America, information on changes in heatwaves is
limited.
For regions such as Europe, where historical temperature reconstructions exist going back several hundreds of
years, indications are that some areas have experienced a disproportionate number of extreme heat waves in
recent decades. Changes in extremes for other climate variables are generally less coherent than those observed for temperature,
owing to data limitations and inconsistencies between studies, regions and/or seasons. However, increases in precipitation extremes, for example, are consistent with a warmer climate. Analyses of land areas with sufficient data
indicate increases in the frequency and intensity of extreme precipitation events in recent decades, but results vary
strongly between regions and seasons. For instance, evidence is most compelling for increases in heavy precipitation
in North America, Central America and Europe, but in some other regions—such as southern Australia and western
Asia—there is evidence of decreases. Likewise, drought studies do not agree on the sign of the global trend, with
regional inconsistencies in trends also dependent on how droughts are defined. However, indications exist that
droughts have increased in some regions (e.g., the Mediterranean) and decreased in others (e.g., central North
America) since the middle of the 20th century.
Considering other extremes, such as tropical cyclones, the latest assessments show that due to problems with past
observing capabilities, it is difficult to make conclusive statements about long-term trends. There is very strong evidence, however, that storm activity has increased in the North Atlantic since the 1970s.
Over periods of a century or more, evidence suggests slight decreases in the frequency of tropical cyclones making
landfall in the North Atlantic and the South Pacific, once uncertainties in observing methods have been considered.
Little evidence exists of any longer-term trend in other ocean basins. For extratropical cyclones, a poleward shift is
evident in both hemispheres over the past 50 years, with further but limited evidence of a decrease in wind storm
frequency at mid-latitudes. Several studies suggest an increase in intensity, but data sampling issues hamper these
assessments.
 summarizes some of the observed changes in climate extremes. Overall, the most robust global
changes in climate extremes are seen in measures of daily temperature, including to some extent, heat waves.
Precipitation extremes also appear to be increasing, but there is large spatial variability, and observed trends in
droughts are still uncertain except in a few regions. While robust increases have been seen in tropical cyclone frequency and activity in the North Atlantic since the 1970s, the reasons for this are still being debated. There is limited
evidence of changes in extremes associated with other climate variables since the mid-20th century.",a
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,Is the Ocean Warming?,q
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,"Yes, the ocean is warming over many regions, depth ranges and time periods, although neither everywhere nor
constantly. The signature of warming emerges most clearly when considering global, or even ocean basin, averages
over time spans of a decade or more.
Ocean temperature at any given location can vary greatly with the seasons. It can also fluctuate substantially
from year to year—or even decade to decade—because of variations in ocean currents and the exchange of heat
between ocean and atmosphere.
Ocean temperatures have been recorded for centuries, but it was not until around 1971 that measurements were
sufficiently comprehensive to estimate the average global temperature of the upper several hundred meters of
the ocean confidently for any given year. In fact, before the international Argo temperature/salinity profiling float
array first achieved worldwide coverage in 2005, the global average upper ocean temperature for any given year
was sensitive to the methodology used to estimate it.
Global mean upper ocean temperatures have increased over decadal time scales from 1971 to 2010. Despite large
uncertainty in most yearly means, this warming is a robust result. In the upper 75 m of the ocean, the global average
warming trend has been 0.11 [0.09 to 0.13]°C per decade over this time. That trend generally lessens from the
surface to mid-depth, reducing to about 0.04°C per decade by 200 m, and to less than 0.02°C per decade by 500 m.
Temperature anomalies enter the subsurface ocean by paths in addition to mixing from above . Colder—hence denser—waters from high latitudes can sink from the surface, then spread toward the equator
beneath warmer, lighter, waters at lower latitudes. At a few locations—the northern North Atlantic Ocean and the
Southern Ocean around Antarctica—ocean water is cooled so much that it sinks to great depths, even to the sea
floor. This water then spreads out to fill much of the rest of the deep ocean. As ocean surface waters warm, these
sinking waters also warm with time, increasing temperatures in the ocean interior much more quickly than would
downward mixing of surface heating alone.
In the North Atlantic, the temperature of these deep waters varies from decade to decade—sometimes warming,
sometimes cooling—depending on prevailing winter atmospheric patterns. Around Antarctica, bottom waters have
warmed detectably from about 1992–2005, perhaps due to the strengthening and southward shift of westerly
winds around the Southern Ocean over the last several decades. This warming signal in the deepest coldest bottom
waters of the world ocean is detectable, although it weakens northward in the Indian, Atlantic and Pacific Oceans.
Deep warming rates are generally less pronounced than ocean surface rates (around 0.03ºC per decade since the
1990s in the deep and bottom waters around Antarctica, and smaller in many other locations). However, they occur
over a large volume, so deep ocean warming contributes significantly to the total increase in ocean heat.
Estimates of historical changes in global average ocean temperature have become more accurate over the past
several years, largely thanks to the recognition, and reduction, of systematic measurement errors. By carefully
comparing less accurate measurements with sparser, more accurate ones at adjacent locations and similar times,
scientists have reduced some spurious instrumental biases in the historical record. These improvements revealed
that the global average ocean temperature has increased much more steadily from year to year than was reported
prior to 2008. Nevertheless, the global average warming rate may not be uniform in time. In some years, the ocean
appears to warm faster than average; in others, the warming rate seems to slow.
The ocean’s large mass and high heat capacity allow it to store huge amounts of energy—more than 1000 times
that in the atmosphere for an equivalent increase in temperature. The Earth is absorbing more heat than it is
emitting back into space, and nearly all this excess heat is entering the oceans and being stored there. The ocean
has absorbed about 93% of the combined heat stored by warmed air, sea, and land, and melted ice between 1971
and 2010.
The ocean’s huge heat capacity and slow circulation lend it significant thermal inertia. It takes about a decade
for near-surface ocean temperatures to adjust in response to climate forcing , such as changes in
greenhouse gas concentrations. Thus, if greenhouse gas concentrations could be held at present levels into the
future, increases in the Earth’s surface temperature would begin to slow within about a decade. However, deep
ocean temperature would continue to warm for centuries to millennia, and thus sea levels would
continue to rise for centuries to millennia as well.",a
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,Is There Evidence for Changes in the Earth’s Water Cycle?,q
https://www.ipcc.ch/site/assets/uploads/2020/05/WGI_AR5_FAQ_EN.pdf,"The Earth’s water cycle involves evaporation and precipitation of moisture at the Earth’s surface. Changes in the
atmosphere’s water vapour content provide strong evidence that the water cycle is already responding to a warming
climate. Further evidence comes from changes in the distribution of ocean salinity, which, due to a lack of long-term
observations of rain and evaporation over the global oceans, has become an important proxy rain gauge.
The water cycle is expected to intensify in a warmer climate, because warmer air can be moister: the atmosphere can
hold about 7% more water vapour for each degree Celsius of warming. Observations since the 1970s show increases
in surface and lower atmospheric water vapour (FAQ 3.2, Figure 1a), at a rate consistent with observed warming.
Moreover, evaporation and precipitation are projected to intensify in a warmer climate.
Recorded changes in ocean salinity in the last 50 years support that projection. Seawater contains both salt and
fresh water, and its salinity is a function of the weight of dissolved salts it contains. Because the total amount of
salt—which comes from the weathering of rocks—does not change over human time scales, seawater’s salinity can
only be altered—over days or centuries—by the addition or removal of fresh water.
The atmosphere connects the ocean’s regions of net fresh water loss to those of fresh water gain by moving
evaporated water vapour from one place to another. The distribution of salinity at the ocean surface largely reflects
the spatial pattern of evaporation minus precipitation, runoff from land, and sea ice processes. There is some
shifting of the patterns relative to each other, because of the ocean’s currents.
Subtropical waters are highly saline, because evaporation exceeds rainfall, whereas seawater at high latitudes
and in the tropics—where more rain falls than evaporates—is less so. The Atlantic, the
saltiest ocean basin, loses more freshwater through evaporation than it gains from precipitation, while the Pacific
is nearly neutral (i.e., precipitation gain nearly balances evaporation loss), and the Southern Ocean (region around
Antarctica) is dominated by precipitation.
Changes in surface salinity and in the upper ocean have reinforced the mean salinity pattern. The evaporationdominated subtropical regions have become saltier, while the precipitation-dominated subpolar and tropical regions
have become fresher. When changes over the top 500 m are considered, the evaporation-dominated Atlantic has
become saltier, while the nearly neutral Pacific and precipitation-dominated Southern Ocean have become fresher.
Observing changes in precipitation and evaporation directly and globally is difficult, because most of the exchange
of fresh water between the atmosphere and the surface happens over the 70% of the Earth’s surface covered
by ocean. Long-term precipitation records are available only from over the land, and there are no long-term
measurements of evaporation.
Land-based observations show precipitation increases in some regions, and decreases in others, making it difficult
to construct a globally integrated picture. Land-based observations have shown more extreme rainfall events, and
more flooding associated with earlier snow melt at high northern latitudes, but there is strong regionality in the
trends. Land-based observations are so far insufficient to provide evidence of changes in drought.
Ocean salinity, on the other hand, acts as a sensitive and effective rain gauge over the ocean. It naturally reflects
and smoothes out the difference between water gained by the ocean from precipitation, and water lost by the
ocean through evaporation, both of which are very patchy and episodic. Ocean salinity is also affected by water
runoff from the continents, and by the melting and freezing of sea ice or floating glacial ice. Fresh water added by
melting ice on land will change global-averaged salinity, but changes to date are too small to observe.
Data from the past 50 years show widespread salinity changes in the upper ocean, which are indicative of systematic
changes in precipitation and runoff minus evaporation.",a
